Deskripsi,Preferensi,Cleaned
Saya menginginkan minuman yang berbahan dasar dari cokelat dan panas,['Hot Chocolate'],minum bahan dasar cokelat panas
cokelat panas memang paling mantap,['Hot Chocolate'],cokelat panas mantap
Minum yg saya sukai itu yg manis tapi ada rasa buahnya seperti choc orangenya good day,['Chocoorange (es coklat dengan campuran perisa jeruk)'],minum yg suka yg manis buah choc orangenya good day
Minuman coklat tapi ada sensasi rasa dingin kalo orang lain bilang si rasa pasta gigi haha,['Chocomint (es coklat dengan campuran perisa daun mint)'],minum coklat sensasi dingin kalo orang bilang si pasta gigi haha
Rasanya tidak terlalu pahit seperti kopi hitam  dan dingin,['Chocomint (es coklat dengan campuran perisa daun mint)'],pahit kopi hitam dingin
Saya menginginkan minuman coklat sedikit ada rasa mint dan dingin,['Chocomint (es coklat dengan campuran perisa daun mint)'],minum coklat mint dingin
Saya ingin minuman es yang terbuat dari coklat dengan campuran rasa jeruk,['Chocoorange (es coklat dengan campuran perisa jeruk)'],minum es coklat campur jeruk
Saya menginginkan minuman berbahan dasar dari coklat yang dicampur dengan rasa jeruk dan disajikan dalam keadaan dingin,['Chocoorange (es coklat dengan campuran perisa jeruk)'],minum bahan dasar coklat campur jeruk saji dingin
Saya menginginkan minuman yang berbahan dasar coklat dan ditambah es,['Ice Chocolate'],minum bahan dasar coklat es
Saya ingin minum minuman dingin yaitu minuman coklat ditambah dengan es,['Ice Chocolate'],minum minum dingin minum coklat es
saya menginginkan minuman yang hangat dan berbahan coklat,['Hot Chocolate'],minum hangat bahan coklat
"saya menginginkan minuman panas untuk cuaca dingin, dan berbahan coklat",['Hot Chocolate'],minum panas cuaca dingin bahan coklat
Saya ingin minuman berbahan dasar coklat namun saya ingin memiliki cita rasa coklat dicampur dengan jeruk,['Chocoorange (es coklat dengan campuran perisa jeruk)'],minum bahan dasar coklat milik cita coklat campur jeruk
Saya menginginkan coklat yang memiliki campuran rasa jeruk,['Chocoorange (es coklat dengan campuran perisa jeruk)'],coklat milik campur jeruk
Saya menginginkan kopi yang pait tapi juga creamy tidak perlu manis,['Tubruk Susu (seduhan dari gilingan kasar dari kopi murni dan ditambahi dengan susu)'],kopi pait creamy manis
Minuman rasa coklat agar bisa nenbantu tidur nyenyak ,['Hot Chocolate'],minum coklat nenbantu tidur nyenyak
Saya minuman coklat dengan ada after taste mentolnya,['Chocomint (es coklat dengan campuran perisa daun mint)'],minum coklat after taste mentol
Saya ingin minuman coklat tapi dengan perpaduan rasa buah seperti pisang ,['Chocobanana (es coklat dengan campuran perisa pisang)'],minum coklat padu buah pisang
Saya menginginkan minuman panas yang terbuat dari coklat dengan campuran gula,['Hot Chocolate'],minum panas coklat campur gula
Saya menginginkan minuman yang terbuat dari coklat dengan campuran gula dan perisa jeruk,['Chocoorange (es coklat dengan campuran perisa jeruk)'],minum coklat campur gula perisa jeruk
Minuman segar coklat berbahan susu dan pisang disajikan dalam keadaan dingin ,['Chocobanana (es coklat dengan campuran perisa pisang)'],minum segar coklat bahan susu pisang saji dingin
Minuman segar coklat berbahan dasar susu dan pisang ,['Chocobanana (es coklat dengan campuran perisa pisang)'],minum segar coklat bahan dasar susu pisang
Yg berbahan dasar cokelat yang tidak pahit,['Ice Chocolate'],yg bahan dasar cokelat pahit
Yang berbahan cokelat dingin,['Ice Chocolate'],bahan cokelat dingin
Saya menginginkan minuman yang berbahan dasar coklat yang sangat enak dan menyatu dalam minuman,['Hot Chocolate'],minum bahan dasar coklat enak minum
saya sangat menginginkan minuman bahan dasar tubruk dan kopi yang masih murni yang sangat enak dinikmati,['Tubruk (seduhan dari gilingan kasar dari kopi murni)'],minum bahan dasar tubruk kopi murni enak nikmat
Saya menginginkan kopi yang tidak terlalu manis,['Tubruk (seduhan dari gilingan kasar dari kopi murni)'],kopi manis
Minuman kopi dengan campuran susu yang tidak terlalu manis,['Kopi Susu'],minum kopi campur susu manis
"Saya menginginkan minuman dengan kombinasi enak, dan cocok, berbahan dasar kopi murni, dengan cita rasa yg cukup creamy",['Tubruk Susu (seduhan dari gilingan kasar dari kopi murni dan ditambahi dengan susu)'],minum kombinasi enak cocok bahan dasar kopi murni cita yg creamy
"Saya menginginkan minuman berbahan dasar kopi yang murni,  dihidangkan dengan air panas sehingga dapat dinikmati ",['Tubruk (seduhan dari gilingan kasar dari kopi murni)'],minum bahan dasar kopi murni hidang air panas nikmat
Saya menginginkan minuman yang berbahan dasar kopi dengan campuran susu putih yang manis dan dingin serta tidak pekat,['Kopi Susu'],minum bahan dasar kopi campur susu putih manis dingin pekat
Minuman yang berbahan dasar kopi ditambah campuran susu yang manis dan disajikan menggunakan es,['Kopi Susu'],minum bahan dasar kopi campur susu manis saji es
"Saya ingin minuman yg seger, dingin, manis coklat tapi tida terlalu manis , dan murah",['Ice Chocolate'],minum yg seger dingin manis coklat tida manis murah
"Minuman yg rasa coklat dingin , namun manis nya pas tida terlalu banyak air ",['Ice Chocolate'],minum yg coklat dingin manis nya pas tida air
Saya ingin minuman campuran mangga dan susu,['MangoBoost (campuran sirup mangga dengan susu)'],minum campur mangga susu
Saya suka Perpaduan antara jeruk dan susu ,['OrangeBoost (campuran sirup jeruk dengan susu)'],suka padu jeruk susu
Saya menginginkan minuman berbahan dasar kopi namun ingin yang dicampur dengan susu,['Kopi Susu'],minum bahan dasar kopi campur susu
Saya ingin minuman berbahan dasar kopi tetapi dengan campuran susu ,['Kopi Susu'],minum bahan dasar kopi campur susu
Saya pencinta pisang apapun mengenai pisang saya suka tp lebih suka pisang dicampur dengan kopi rasanya mantul,['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],cinta pisang kena pisang suka tp suka pisang campur kopi mantul
saya ingin minuman berbahan dasar kopi yang dicampur dengan perisa pisang kemudian disajikan secara dingin,['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum bahan dasar kopi campur perisa pisang saji dingin
Saya merupakan seorang pencinta kopi tetapi harus ada rasa buahnya,['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],rupa orang cinta kopi buah
saya ingin minuman berbahan dasar kopi yang dicampur dengan susu dan ditambahkan perisa pisang kemudian disajikan dengan menambahkan es,['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum bahan dasar kopi campur susu perisa pisang saji es
"Saya menginginkan minuman yang bahan dasarnya teh rasa leci, ada buah lecinya, dan dingin",['Ice Lychee Tea (teh leci dengan buah leci)'],minum bahan dasar teh leci buah leci dingin
Saya menginginkan minuman yang berbahan dasar teh leci dan ditambahkan buah leci asli,['Ice Lychee Tea (teh leci dengan buah leci)'],minum bahan dasar teh leci buah leci asli
Saya menginginkan minuman yang berbahan dasar tea tetapi saya inginnya rasa Leci,['Ice Lychee Tea (teh leci dengan buah leci)'],minum bahan dasar tea leci
Saya ingin meminum kopi dengan sensasi yang membuat segar dan dingin,['Kopimint (es kopi susu dengan campuran perisa daun mint)'],minum kopi sensasi segar dingin
Saya menginginkan minuman yang berbahan dasar dari tea tetapi saya inginnya yang panas,['Hot Thai Tea (seduhan teh panas thai tea)'],minum bahan dasar tea panas
Seduhan teh panas dan beraroma wangi ,['Hot Thai Tea (seduhan teh panas thai tea)'],seduh teh panas aroma wangi
Saya ingin minum minuman soda dengan buah yg memiliki rasa yang khas dan disertai dengan sedikit campuran yang berbusa,['Markisquash (campuran sirup markisa dan soda)'],minum minum soda buah yg milik khas campur busa
Teh panas dengan kualitas yang bagus dan harum ,['Hot Thai Tea (seduhan teh panas thai tea)'],teh panas kualitas bagus harum
Minuman teh namun berasa leci,['Ice Lychee Tea (teh leci dengan buah leci)'],minum teh asa leci
Saya menginginkan minuman yang berbahan dasar dari teh tetapi saya inginnya yang panas,['Hot Thai Tea (seduhan teh panas thai tea)'],minum bahan dasar teh panas
Saya menginginkan minuman rasa teh namun ada campuran rasa buah leci nya,['Ice Lychee Tea (teh leci dengan buah leci)'],minum teh campur buah leci nya
Saya ingin minuman dengan perpaduan hara pait kopi ditambah dengan rasa manis pisang,['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum padu hara pait kopi manis pisang
Saya menginginkan minum dengan bahan dasar kopi ditambah dengan cita rasa buah seperti pisang,['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum bahan dasar kopi cita buah pisang
Saya ingin minuman minuman manis dengan campuran sirup rasa mangga dengan tambahan susu,['MangoBoost (campuran sirup mangga dengan susu)'],minum minum manis campur sirup mangga susu
Saya menginginkan minuman rasa mangga yang segar dan ditambah dengan paduan susu yang manis,['MangoBoost (campuran sirup mangga dengan susu)'],minum mangga segar padu susu manis
"Saya ingin minuman rasa buah jeruk, dingin dan menyegarkan.",['OrangeBoost (campuran sirup jeruk dengan susu)'],minum buah jeruk dingin segar
"Saya mau minuman yang menyegarkan, rasanya manis, bisa disajikan dingin, dan ada campuran susu dan buah",['OrangeBoost (campuran sirup jeruk dengan susu)'],minum segar manis saji dingin campur susu buah
"Saya menginginkan minuman manis dengan rasa yg segar perpaduan dengan buah dan susu, dengan didominasi rasa creamy ",['MangoBoost (campuran sirup mangga dengan susu)'],minum manis yg segar padu buah susu dominasi creamy
"Minuman dengan dominan rasa buah yg tidak terlalu asam dan manis, dipadu dengan rasa susu yg creamy",['MangoBoost (campuran sirup mangga dengan susu)'],minum dominan buah yg asam manis padu susu yg creamy
Minuman yang bertema soda,['Sunsetia (campuran sirup jeruk dan soda)'],minum tema soda
Minuman yang bersoda dan tidak terlalu manis,['Sunsetia (campuran sirup jeruk dan soda)'],minum soda manis
Saya suka minuman susu rasa buah yg dingiin dan segar,['MangoBoost (campuran sirup mangga dengan susu)'],suka minum susu buah yg dingiin segar
Saya menginginkan minuman susu manis rasa buah yg segar dan rasa milky,['OrangeBoost (campuran sirup jeruk dengan susu)'],minum susu manis buah yg segar milky
Saya menginginkan minuman kopi dengan campuran perasa daun mint yang menyegarkan,['Kopimint (es kopi susu dengan campuran perisa daun mint)'],minum kopi campur asa daun mint segar
Saya menginginkan minuman kopi dengan campuran susu dan perisa daun mint yang dingin dan menyegarkan,['Kopimint (es kopi susu dengan campuran perisa daun mint)'],minum kopi campur susu perisa daun mint dingin segar
Saya sangat suka minuman yang berbahan dasar dari kopi dan ditambahkan rasa mint yang membuat segar saat diminum,['Kopimint (es kopi susu dengan campuran perisa daun mint)'],suka minum bahan dasar kopi mint segar minum
Sangat menginginkan Kemurnian rasa jeruk asli dengan sentuhan manis alami yang dapat menciptakan harmoni rasa yang memikat.,['OrangeBoost (campuran sirup jeruk dengan susu)'],murni jeruk asli sentuh manis alami cipta harmoni mikat
Aroma kopi yang khas dengan sentuhan mint yang dapat menambah dimensi baru pada rasa dan aroma.,['Kopimint (es kopi susu dengan campuran perisa daun mint)'],aroma kopi khas sentuh mint dimensi aroma
Saya menginginkan minuman yang berbahan dasar dari sirup jeruk dan susu,['OrangeBoost (campuran sirup jeruk dengan susu)'],minum bahan dasar sirup jeruk susu
Saya menginginkan minuman yang berbahan dasar dari sirup jeruk dan susu,['OrangeBoost (campuran sirup jeruk dengan susu)'],minum bahan dasar sirup jeruk susu
Saya menginginkan minuman yang berbahan dasar kopi tapi ada hint menyegarkan di tenggorokan,['Kopimint (es kopi susu dengan campuran perisa daun mint)'],minum bahan dasar kopi hint segar tenggorok
"Hot tea, teh panas aroma pekat",['Hot Thai Tea (seduhan teh panas thai tea)'],hot tea teh panas aroma pekat
Teh panas dengan aroma wangi bunga,['Hot Thai Tea (seduhan teh panas thai tea)'],teh panas aroma wangi bunga
Kopi yg seger wangi namun bisa di pakai untuk dingin,['Kopimint (es kopi susu dengan campuran perisa daun mint)'],kopi yg seger wangi pakai dingin
Minuman Coklat buat siang/malam/sore hari suka yg seger dingin dan seperti aroma herbal natural,['Chocomint (es coklat dengan campuran perisa daun mint)'],minum coklat siang malam sore suka yg seger dingin aroma herbal natural
"Minuman manis yang dingin rasa buah atau sirup markisa ditambah dengan air soda (sprite lime), madu, dan biji selasih",['Markisquash (campuran sirup markisa dan soda)'],minum manis dingin buah sirup markisa air soda sprite lime madu biji selasih
"Minuman dingin terbuat dari sirup markisa yang dicampur dengan air soda, jeruk nipis, dan gula/madu.",['Markisquash (campuran sirup markisa dan soda)'],minum dingin sirup markisa campur air soda jeruk nipis gula madu
Menginginkan kopi yang ada rasa mint,['Kopimint (es kopi susu dengan campuran perisa daun mint)'],kopi mint
Saya menginginkan minuman berbahan dasar kopi dengan rasa mint,['Kopimint (es kopi susu dengan campuran perisa daun mint)'],minum bahan dasar kopi mint
Minuman berbahan teh dengan rasa leci,['Ice Lychee Tea (teh leci dengan buah leci)'],minum bahan teh leci
Saya menginginkan minuman teh yang ada rasa lecinya ,['Ice Lychee Tea (teh leci dengan buah leci)'],minum teh leci
Saya menginginkan minuman yang berbahan dasar susu tapi dengan campuran rasa buah mangga,['MangoBoost (campuran sirup mangga dengan susu)'],minum bahan dasar susu campur buah mangga
Saya ingin minuman dengan bahan dasar susu yang memiliki campuran rasa mangga,['MangoBoost (campuran sirup mangga dengan susu)'],minum bahan dasar susu milik campur mangga
Saya ingin minuman susu dengan rasa jeruk yg manis,['OrangeBoost (campuran sirup jeruk dengan susu)'],minum susu jeruk yg manis
Saya menginginkan minuman yang berbahan dasar susu dan dicampur sirup jeruk,['OrangeBoost (campuran sirup jeruk dengan susu)'],minum bahan dasar susu campur sirup jeruk
Saya ingin minuman yang terbuat dari campuran sirup jeruk dengan susu,['OrangeBoost (campuran sirup jeruk dengan susu)'],minum campur sirup jeruk susu
Saya menginginkan minuman dengan rasa jeruk dengan sedikit taste susu,['OrangeBoost (campuran sirup jeruk dengan susu)'],minum jeruk taste susu
Saya menginginkan minuman susu berbahan dasar mangga dan dingin,['MangoBoost (campuran sirup mangga dengan susu)'],minum susu bahan dasar mangga dingin
Yang ada rasa buah dan susu,['MangoBoost (campuran sirup mangga dengan susu)'],buah susu
Campuran buah mangga dan susu,['MangoBoost (campuran sirup mangga dengan susu)'],campur buah mangga susu
Saya menginginkan minuman buah-buahan yang dicampur dengan soda,['Sunsetia (campuran sirup jeruk dan soda)'],minum buah campur soda
saya ingin minuman berbahan dasar kopi dengan perisa daun mint,['Kopimint (es kopi susu dengan campuran perisa daun mint)'],minum bahan dasar kopi perisa daun mint
Minuman jeruk yg dicampur susu,['OrangeBoost (campuran sirup jeruk dengan susu)'],minum jeruk yg campur susu
saya ingin minuman berbahan dasar kopi dengan perisa daun mint ,['Kopimint (es kopi susu dengan campuran perisa daun mint)'],minum bahan dasar kopi perisa daun mint
Minuman sirup jeruk yg dicampur susu,['OrangeBoost (campuran sirup jeruk dengan susu)'],minum sirup jeruk yg campur susu
Saya menginginkan minuman dari mangga yang manis dan dingin,['MangoBoost (campuran sirup mangga dengan susu)'],minum mangga manis dingin
Saya menginginkan minuman berbahan dasar kopi dengan campuran perisa daun mint ,['Kopimint (es kopi susu dengan campuran perisa daun mint)'],minum bahan dasar kopi campur perisa daun mint
saya ingin minuman berbahan dasar kopi dengan campuran susu dan perisa daun mint ,['Kopimint (es kopi susu dengan campuran perisa daun mint)'],minum bahan dasar kopi campur susu perisa daun mint
saya ingin minuman berbahan dasar kopi dengan perisa daun mint ,['Kopimint (es kopi susu dengan campuran perisa daun mint)'],minum bahan dasar kopi perisa daun mint
saya ingin minuman berbahan dasar kopi yang dingin dengan campuran susu dan perisa daun mint ,['Kopimint (es kopi susu dengan campuran perisa daun mint)'],minum bahan dasar kopi dingin campur susu perisa daun mint
Saya menginginkan minuman susu orange yang sangat manis dan segar,['OrangeBoost (campuran sirup jeruk dengan susu)'],minum susu orange manis segar
saya sangat suka dan menginginkan minuman rasa jeruk dicampur dengan susu yang manis,['OrangeBoost (campuran sirup jeruk dengan susu)'],suka minum jeruk campur susu manis
Saya menginginkan minuman segar bersoda rasa buah-buahan,['Sunsetia (campuran sirup jeruk dan soda)'],minum segar soda buah
Saya suka kopi pekat dan gak terlalu manis yang panas,['Tubruk (seduhan dari gilingan kasar dari kopi murni)'],suka kopi pekat gak manis panas
Saya suka kopi yang agak pahit yang panas,['Tubruk (seduhan dari gilingan kasar dari kopi murni)'],suka kopi pahit panas
Saya suka kopi pahit dan original yang panas,['Tubruk (seduhan dari gilingan kasar dari kopi murni)'],suka kopi pahit original panas
Saya ingin minuman coklat dengan campuran pisang yang dingin,['Chocobanana (es coklat dengan campuran perisa pisang)'],minum coklat campur pisang dingin
Saya suka minuman campuran coklat dan pisang yang dingin,['Chocobanana (es coklat dengan campuran perisa pisang)'],suka minum campur coklat pisang dingin
Saya suka minuman dingin rasa coklat dan pisang,['Chocobanana (es coklat dengan campuran perisa pisang)'],suka minum dingin coklat pisang
Saya ingin minuman dingin bersoda dicampur sirup jeruk,['Sunsetia (campuran sirup jeruk dan soda)'],minum dingin soda campur sirup jeruk
Saya suka minuman dingin bersoda rasa jeruk,['Sunsetia (campuran sirup jeruk dan soda)'],suka minum dingin soda jeruk
Saya suka minuman jeruk dicampur soda,['Sunsetia (campuran sirup jeruk dan soda)'],suka minum jeruk campur soda
Saya ingin minuman jeruk dicampur soda,['Sunsetia (campuran sirup jeruk dan soda)'],minum jeruk campur soda
Saya ingin minuman dingin bersoda dicampur jeruk,['Sunsetia (campuran sirup jeruk dan soda)'],minum dingin soda campur jeruk
Saya ingin minuman jeruk dicampur soda,['Sunsetia (campuran sirup jeruk dan soda)'],minum jeruk campur soda
Saya ingin minuman bersoda dicampur jeruk,['Sunsetia (campuran sirup jeruk dan soda)'],minum soda campur jeruk
saya ingin minuman yang berbahan dasar coklat dengan air atau susu hangat,['Hot Chocolate'],minum bahan dasar coklat air susu hangat
Saya ingin minuman berbahan dasar coklat tetapi saya ingin yang manis dan hangat,['Hot Chocolate'],minum bahan dasar coklat manis hangat
saya ingin minuman dengan bahan dasar coklat atau kakao bubuk dengan air hangat ,['Hot Chocolate'],minum bahan dasar coklat kakao bubuk air hangat
saya ingin minuman berbahan dasar kopi panas yang digiling dengan tambahan susu,['Tubruk Susu (seduhan dari gilingan kasar dari kopi murni dan ditambahi dengan susu)'],minum bahan dasar kopi panas giling susu
Saya ingin minuman berbahan dasar kopi panas dengan tambahan susu ,['Tubruk Susu (seduhan dari gilingan kasar dari kopi murni dan ditambahi dengan susu)'],minum bahan dasar kopi panas susu
Saya ingin minuman yang terbuat dari kopi yang digiling kasar dan tambahan susu yang panas ,['Tubruk Susu (seduhan dari gilingan kasar dari kopi murni dan ditambahi dengan susu)'],minum kopi giling kasar susu panas
Saya ingin minuman dari kopi giling kasar dengan tambahan susu yang panas,['Tubruk Susu (seduhan dari gilingan kasar dari kopi murni dan ditambahi dengan susu)'],minum kopi giling kasar susu panas
Saya ingin minuman kopi dicampur susu dan dingin,['Kopi Susu'],minum kopi campur susu dingin
Saya ingin minuman berbahan dasar coklat dengan perisa buah ,['Chocoorange (es coklat dengan campuran perisa jeruk)'],minum bahan dasar coklat perisa buah
Saya ingin minuman berbahan dasar coklat dengan perisa buah ,['Chocoorange (es coklat dengan campuran perisa jeruk)'],minum bahan dasar coklat perisa buah
Saya ingin kopi dicampur susu dan dingin,['Kopi Susu'],kopi campur susu dingin
Saya ingin minuman berbahan dasar coklat dengan perisa buah dan dingin,['Chocoorange (es coklat dengan campuran perisa jeruk)'],minum bahan dasar coklat perisa buah dingin
Say ingin minuman berbahan dasar coklat yang dingin dengan perisa buah ,['Chocoorange (es coklat dengan campuran perisa jeruk)'],say minum bahan dasar coklat dingin perisa buah
Saya ingin minuman kopi dicampur susu,['Kopi Susu'],minum kopi campur susu
Saya ingin minum kopi yang ada campuran susu dan dingin,['Kopi Susu'],minum kopi campur susu dingin
Saya ingin minuman berbahan dasar coklat yang dingin dengan perisa buah ,['Chocoorange (es coklat dengan campuran perisa jeruk)'],minum bahan dasar coklat dingin perisa buah
Saya ingin minuman berbahan dasar coklat yang dingin dengan perisa daun mint ,['Chocomint (es coklat dengan campuran perisa daun mint)'],minum bahan dasar coklat dingin perisa daun mint
Saya ingin minuman berbahan dasar coklat dengan perisa daun mint yang dingin ,['Chocomint (es coklat dengan campuran perisa daun mint)'],minum bahan dasar coklat perisa daun mint dingin
Saya ingin minuman berbahan dasar coklat yang dingin dengan sensai mint,['Chocomint (es coklat dengan campuran perisa daun mint)'],minum bahan dasar coklat dingin sensai mint
Saya ingin minuman kopi dicampur susu,['Kopi Susu'],minum kopi campur susu
Saya suka kopi dingin ditambah susu,['Kopi Susu'],suka kopi dingin susu
Saya ingin es kopi dicampur susu,['Kopi Susu'],es kopi campur susu
Saya ingin campuran kopi dan susu yang dingin,['Kopi Susu'],campur kopi susu dingin
Saya ingin minuman dingin campuran kopi dan susu,['Kopi Susu'],minum dingin campur kopi susu
Saya ingin minuman kopi dingin dicampur susu,['Kopi Susu'],minum kopi dingin campur susu
Saya ingin minuman kopi dingin dicampur susu,['Kopi Susu'],minum kopi dingin campur susu
Saya ingin minuman kopi dingin dicampur susu,['Kopi Susu'],minum kopi dingin campur susu
Saya ingin minuman bahan kopi dicampur susu yang dingin,['Kopi Susu'],minum bahan kopi campur susu dingin
Saya ingin minuman kopi dicampur susu dingin,['Kopi Susu'],minum kopi campur susu dingin
Saya ingin minuman kopi dicampur susu dingin,['Kopi Susu'],minum kopi campur susu dingin
Saya ingin minuman kopi tidak terlalu strong dicampur susu dan dingin,['Kopi Susu'],minum kopi strong campur susu dingin
Saya ingin minuman berbahan dasar coklat yang dingin dengan perisa daun mint ,['Chocomint (es coklat dengan campuran perisa daun mint)'],minum bahan dasar coklat dingin perisa daun mint
Saya ingin minuman berbahan dasar coklat yang dingin dengan perisa daun mint ,['Chocomint (es coklat dengan campuran perisa daun mint)'],minum bahan dasar coklat dingin perisa daun mint
Saya ingin minuman berbahan dasar coklat tetapi saya ingin yang dingin dan ada perisa buah,['Chocobanana (es coklat dengan campuran perisa pisang)'],minum bahan dasar coklat dingin perisa buah
Saya ingin minuman berbahan dasar coklat dengan perisa buah ,['Chocobanana (es coklat dengan campuran perisa pisang)'],minum bahan dasar coklat perisa buah
Saya ingin minuman berbahan dasar coklat yang dingin dengan perisa buah ,['Chocobanana (es coklat dengan campuran perisa pisang)'],minum bahan dasar coklat dingin perisa buah
Saya ingin minuman berbahan dasar coklat dengan perisa buah ,['Chocobanana (es coklat dengan campuran perisa pisang)'],minum bahan dasar coklat perisa buah
Saya ingin minuman berbahan dasar coklat dengan perisa buah ,['Chocobanana (es coklat dengan campuran perisa pisang)'],minum bahan dasar coklat perisa buah
