Preferensi,Cleaned
['OrangeBoost (campuran sirup jeruk dengan susu)'],suka padu jeruk susu
['Kopi Susu'],minum bahan dasar kopi campur susu
['Kopi Susu'],minum bahan dasar kopi campur susu
['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],cinta pisang kena pisang suka tp suka pisang campur kopi mantul
['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum bahan dasar kopi campur perisa pisang saji dingin
['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],rupa orang cinta kopi buah
['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum bahan dasar kopi campur susu perisa pisang saji es
['Ice Lychee Tea (teh leci dengan buah leci)'],minum bahan dasar teh leci buah leci dingin
['Ice Lychee Tea (teh leci dengan buah leci)'],minum bahan dasar teh leci buah leci asli
['Ice Lychee Tea (teh leci dengan buah leci)'],minum bahan dasar tea leci
['Kopimint (es kopi susu dengan campuran perisa daun mint)'],minum kopi sensasi segar dingin
['Hot Thai Tea (seduhan teh panas thai tea)'],minum bahan dasar tea panas
['Hot Thai Tea (seduhan teh panas thai tea)'],seduh teh panas aroma wangi
['Markisquash (campuran sirup markisa dan soda)'],minum minum soda buah yg milik khas campur busa
['Hot Thai Tea (seduhan teh panas thai tea)'],teh panas kualitas bagus harum
['Ice Lychee Tea (teh leci dengan buah leci)'],minum teh asa leci
['Hot Thai Tea (seduhan teh panas thai tea)'],minum bahan dasar teh panas
['Ice Lychee Tea (teh leci dengan buah leci)'],minum teh campur buah leci nya
['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum padu hara pait kopi manis pisang
['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum bahan dasar kopi cita buah pisang
['MangoBoost (campuran sirup mangga dengan susu)'],minum minum manis campur sirup mangga susu
['MangoBoost (campuran sirup mangga dengan susu)'],minum mangga segar padu susu manis
['OrangeBoost (campuran sirup jeruk dengan susu)'],minum buah jeruk dingin segar
['OrangeBoost (campuran sirup jeruk dengan susu)'],minum segar manis saji dingin campur susu buah
['MangoBoost (campuran sirup mangga dengan susu)'],minum manis yg segar padu buah susu dominasi creamy
['MangoBoost (campuran sirup mangga dengan susu)'],minum dominan buah yg asam manis padu susu yg creamy
['Sunsetia (campuran sirup jeruk dan soda)'],minum tema soda
['Sunsetia (campuran sirup jeruk dan soda)'],minum soda manis
['MangoBoost (campuran sirup mangga dengan susu)'],suka minum susu buah yg dingiin segar
['OrangeBoost (campuran sirup jeruk dengan susu)'],minum susu manis buah yg segar milky
['Kopimint (es kopi susu dengan campuran perisa daun mint)'],minum kopi campur asa daun mint segar
['Kopimint (es kopi susu dengan campuran perisa daun mint)'],minum kopi campur susu perisa daun mint dingin segar
['Kopimint (es kopi susu dengan campuran perisa daun mint)'],minum bahan dasar kopi campur mint
['Kopimint (es kopi susu dengan campuran perisa daun mint)'],suka minum bahan dasar kopi mint segar minum
['OrangeBoost (campuran sirup jeruk dengan susu)'],murni jeruk asli sentuh manis alami cipta harmoni mikat
['Kopimint (es kopi susu dengan campuran perisa daun mint)'],aroma kopi khas sentuh mint dimensi aroma
['OrangeBoost (campuran sirup jeruk dengan susu)'],minum bahan dasar sirup jeruk susu
['OrangeBoost (campuran sirup jeruk dengan susu)'],minum bahan dasar sirup jeruk susu
['Kopimint (es kopi susu dengan campuran perisa daun mint)'],minum bahan dasar kopi hint segar tenggorok
['Kopimint (es kopi susu dengan campuran perisa daun mint)'],minum bahan dasar kopi mint
['Hot Thai Tea (seduhan teh panas thai tea)'],hot tea teh panas aroma pekat
['Hot Thai Tea (seduhan teh panas thai tea)'],teh panas aroma wangi bunga
['Kopimint (es kopi susu dengan campuran perisa daun mint)'],kopi yg seger wangi pakai dingin
['Chocomint (es coklat dengan campuran perisa daun mint)'],minum coklat siang malam sore suka yg seger dingin aroma herbal natural
['Markisquash (campuran sirup markisa dan soda)'],minum manis dingin buah sirup markisa air soda sprite lime madu biji selasih
['Markisquash (campuran sirup markisa dan soda)'],minum dingin sirup markisa campur air soda jeruk nipis gula madu
['Kopimint (es kopi susu dengan campuran perisa daun mint)'],kopi mint
['Kopimint (es kopi susu dengan campuran perisa daun mint)'],minum bahan dasar kopi mint
['Ice Lychee Tea (teh leci dengan buah leci)'],minum bahan teh leci
['Ice Lychee Tea (teh leci dengan buah leci)'],minum teh leci
['MangoBoost (campuran sirup mangga dengan susu)'],minum bahan dasar susu campur buah mangga
['MangoBoost (campuran sirup mangga dengan susu)'],minum bahan dasar susu milik campur mangga
['OrangeBoost (campuran sirup jeruk dengan susu)'],minum susu jeruk yg manis
['OrangeBoost (campuran sirup jeruk dengan susu)'],minum bahan dasar susu campur sirup jeruk
['OrangeBoost (campuran sirup jeruk dengan susu)'],minum campur sirup jeruk susu
['OrangeBoost (campuran sirup jeruk dengan susu)'],minum jeruk taste susu
['MangoBoost (campuran sirup mangga dengan susu)'],minum susu bahan dasar mangga dingin
['MangoBoost (campuran sirup mangga dengan susu)'],buah susu
['MangoBoost (campuran sirup mangga dengan susu)'],campur buah mangga susu
['Sunsetia (campuran sirup jeruk dan soda)'],minum buah campur soda
['Kopimint (es kopi susu dengan campuran perisa daun mint)'],minum bahan dasar kopi perisa daun mint
['OrangeBoost (campuran sirup jeruk dengan susu)'],minum jeruk yg campur susu
['Kopimint (es kopi susu dengan campuran perisa daun mint)'],minum bahan dasar kopi perisa daun mint
['OrangeBoost (campuran sirup jeruk dengan susu)'],minum sirup jeruk yg campur susu
['MangoBoost (campuran sirup mangga dengan susu)'],minum mangga manis dingin
['Kopimint (es kopi susu dengan campuran perisa daun mint)'],minum bahan dasar kopi campur perisa daun mint
['Kopimint (es kopi susu dengan campuran perisa daun mint)'],minum bahan dasar kopi campur susu perisa daun mint
['Kopimint (es kopi susu dengan campuran perisa daun mint)'],minum bahan dasar kopi perisa daun mint
['Kopimint (es kopi susu dengan campuran perisa daun mint)'],minum bahan dasar kopi dingin campur susu perisa daun mint
['OrangeBoost (campuran sirup jeruk dengan susu)'],minum susu orange manis segar
['OrangeBoost (campuran sirup jeruk dengan susu)'],suka minum jeruk campur susu manis
['Sunsetia (campuran sirup jeruk dan soda)'],minum segar soda buah
['Tubruk (seduhan dari gilingan kasar dari kopi murni)'],suka kopi pekat gak manis panas
['Tubruk (seduhan dari gilingan kasar dari kopi murni)'],suka kopi pahit panas
['Tubruk (seduhan dari gilingan kasar dari kopi murni)'],suka kopi pahit original panas
['Chocobanana (es coklat dengan campuran perisa pisang)'],minum coklat campur pisang dingin
['Chocobanana (es coklat dengan campuran perisa pisang)'],suka minum campur coklat pisang dingin
['Chocobanana (es coklat dengan campuran perisa pisang)'],suka minum dingin coklat pisang
['Sunsetia (campuran sirup jeruk dan soda)'],minum dingin soda campur sirup jeruk
['Sunsetia (campuran sirup jeruk dan soda)'],suka minum dingin soda jeruk
['Sunsetia (campuran sirup jeruk dan soda)'],suka minum jeruk campur soda
['Sunsetia (campuran sirup jeruk dan soda)'],minum jeruk campur soda
['Sunsetia (campuran sirup jeruk dan soda)'],minum dingin soda campur jeruk
['Sunsetia (campuran sirup jeruk dan soda)'],minum jeruk campur soda
['Sunsetia (campuran sirup jeruk dan soda)'],minum soda campur jeruk
['Hot Chocolate'],minum bahan dasar coklat air susu hangat
['Hot Chocolate'],minum bahan dasar coklat manis hangat
['Hot Chocolate'],minum bahan dasar coklat kakao bubuk air hangat
['Tubruk Susu (seduhan dari gilingan kasar dari kopi murni dan ditambahi dengan susu)'],minum bahan dasar kopi panas giling susu
['Tubruk Susu (seduhan dari gilingan kasar dari kopi murni dan ditambahi dengan susu)'],minum bahan dasar kopi panas susu
['Tubruk Susu (seduhan dari gilingan kasar dari kopi murni dan ditambahi dengan susu)'],minum kopi giling kasar susu panas
['Tubruk Susu (seduhan dari gilingan kasar dari kopi murni dan ditambahi dengan susu)'],minum kopi giling kasar susu panas
['Kopi Susu'],minum kopi campur susu dingin
['Chocoorange (es coklat dengan campuran perisa jeruk)'],minum bahan dasar coklat perisa buah
['Chocoorange (es coklat dengan campuran perisa jeruk)'],minum bahan dasar coklat perisa buah
['Kopi Susu'],kopi campur susu dingin
['Chocoorange (es coklat dengan campuran perisa jeruk)'],minum bahan dasar coklat perisa buah dingin
['Chocoorange (es coklat dengan campuran perisa jeruk)'],say minum bahan dasar coklat dingin perisa buah
['Kopi Susu'],minum kopi campur susu
['Kopi Susu'],minum kopi campur susu dingin
['Chocoorange (es coklat dengan campuran perisa jeruk)'],minum bahan dasar coklat dingin perisa buah
['Chocomint (es coklat dengan campuran perisa daun mint)'],minum bahan dasar coklat dingin perisa daun mint
['Chocomint (es coklat dengan campuran perisa daun mint)'],minum bahan dasar coklat perisa daun mint dingin
['Chocomint (es coklat dengan campuran perisa daun mint)'],minum bahan dasar coklat dingin sensai mint
['Kopi Susu'],minum kopi campur susu
['Kopi Susu'],suka kopi dingin susu
['Kopi Susu'],es kopi campur susu
['Kopi Susu'],campur kopi susu dingin
['Kopi Susu'],minum dingin campur kopi susu
['Kopi Susu'],minum kopi dingin campur susu
['Kopi Susu'],minum kopi dingin campur susu
['Kopi Susu'],minum kopi dingin campur susu
['Kopi Susu'],minum bahan kopi campur susu dingin
['Kopi Susu'],minum kopi campur susu dingin
['Kopi Susu'],minum kopi campur susu dingin
['Kopi Susu'],minum kopi strong campur susu dingin
['Chocomint (es coklat dengan campuran perisa daun mint)'],minum bahan dasar coklat dingin perisa daun mint
['Chocomint (es coklat dengan campuran perisa daun mint)'],minum bahan dasar coklat dingin perisa daun mint
['Chocobanana (es coklat dengan campuran perisa pisang)'],minum bahan dasar coklat dingin perisa buah
['Chocobanana (es coklat dengan campuran perisa pisang)'],minum bahan dasar coklat perisa buah
['Chocobanana (es coklat dengan campuran perisa pisang)'],minum bahan dasar coklat dingin perisa buah
['Chocobanana (es coklat dengan campuran perisa pisang)'],minum bahan dasar coklat perisa buah
['Chocobanana (es coklat dengan campuran perisa pisang)'],minum bahan dasar coklat perisa buah
['Sunsetia (campuran sirup jeruk dan soda)'],minum soda milik buah
['Markisquash (campuran sirup markisa dan soda)'],minum soda perisa buah
['Markisquash (campuran sirup markisa dan soda)'],minum bahan dasar buah soda
['Markisquash (campuran sirup markisa dan soda)'],minum buah soda
['Markisquash (campuran sirup markisa dan soda)'],minum soda buah asam
['Markisquash (campuran sirup markisa dan soda)'],minum buah buah asam soda
['Kopi Susu'],minum bahan dasar kopi pakai susu
['Kopi Susu'],minum kopi susu
['Kopi Susu'],minum kopi susu
['Kopi Susu'],minum kopi campur susu
['Kopi Susu'],minum bahan dasar kopi susu
['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum bahan dasar kopi susu buah
['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum kopi susu pisang
['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum kopi campur susu perisa buah
['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum bahan dasar kopi susu perisa buah
['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum kopi susu perisa buah dingin
['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum dingin bahan dasar kopi susu dna perisa buah
['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum kopi susu dingin perisa buah
['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum es kopi susu perisa buah
['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum kopi susu dingin campur perisa buah susu
['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum es kopi susu campur perisa buah
['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum kopi susu campur perisa buah dingin
['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum es kopi campur susu perisa buah
['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum bahan dasar kopi campur susu perisa buah pakai es
['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum kopi dingin campur susu perisa buah
['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum bahan dasar kopi campur susu perisa buah dingin
['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum dingin bahan dasar kopi campur susu perisa buah manis
['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],kopi susu dingin campur perisa buah
['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum kopi susu dingin perisa buah
['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum kopi dingin susu campur perisa buah
['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum bahan dasar kopi es campur susu perisa buah
['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum kopi susu dingin perisa buah
['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum kopi dingin susu campur perisa buah
['Kopimint (es kopi susu dengan campuran perisa daun mint)'],minum dingin bahan dasar kopi campur susu perisa daun mint
['Kopimint (es kopi susu dengan campuran perisa daun mint)'],minum kopi susu dingin perisa daun mint
['Kopi Susu'],minum dingin bahan dasar kopi campur susu
['Kopi Susu'],minum kopi campur susu dingin
['Kopi Susu'],minum kopi campur susu es
['Kopi Susu'],minum dingin bahan dasar kopi susu
['Kopi Susu'],minum kopi susu dingin
